Day   Total Perdiem Percentage
May21 334173 4934 1%
May20 329239 4685 1%
May19 324554 4589 1%
May18 319965 3445 1%
May17 316520 3618 1%
May16 312902 4360 1%
May15 308542 5079 2%
May14 303463 5355 2%
May13 298108 5364 2%
May12 292744 5561 2%
May11 287183 3451 1%
May10 283732 3508 1%
May9 280224 4248 2%
May8 275976 5550 2%
May7 270426 5589 2%
May6 264837 6811 3%
May5 258026 5786 2%
May4 252240 4096 2%
May3 248144 3480 1%
May2 244664 5217 2%
May1 239447 5623 2%
Apr30 233824 5795 3%
Apr29 228029 6593 3%
Apr28 221436 6688 3%
Apr27 214748 4509 2%
Apr26 210239 3757 2%
Apr25 206482 6101 3%
Apr24 200381 6417 3%
Apr23 193964 6705 4%
Apr22 187259 6698 4%
Apr21 180561 7284 4%
Apr20 173277 5489 3%
Apr19 167788 4894 3%
Apr18 162894 6676 4%
Apr17 156218 8429 6%
Apr16 147789 6998 5%
Apr15 140791 8190 6%
Apr14 132601 7408 6%
Apr13 125193 5639 5%
Apr12 119554 5565 5%
Apr11 113989 6208 6%
Apr10 107781 7347 7%
Apr9 100434 7666 8%
Apr8 92768 6735 8%
Apr7 86033 7892 10%
Apr6 78141 5606 8%
Apr5 72535 5004 7%
Apr4 67531 6066 10%
Apr3 61465 5962 11%
Apr2 55503 6270 13%
Apr1 49233 5190 12%
Mar31 44043 4709 12%
Mar30 39334 4160 12%
Mar29 35174 3343 11%
Mar28 31831 3671 13%
Mar27 28160 3469 14%
Mar26 24691 2945 14%
Mar25 21746 2589 14%
Mar24 19157 2486 15%
Mar23 16671 1932 13%
Mar22 14739 1638 13%
Mar21 13101 1644 14%
Mar20 11457 1380 14%
Mar19 10077 1094 12%
Mar18 8983 983 12%
Mar17 8000 820 11%
Mar16 7180 648 10%
Mar15 6532 691 12%
Mar14 5841 414 8%
Mar13 5427 447 9%
Mar12 4980 353 8%
Mar11 4627 330 8%
Mar10 4297 274 7%
Mar9 4023 197 5%
Mar8 3826 228 6%
Mar7 3598 105 3%
Mar6 3493 106 3%
Mar5 3387 102 3%
Mar4 3285 83 3%
Mar3 3202 85 3%
Mar2 3117 67 2%
Mar1 3050 73 2%
Feb29 2977 54 2%
Feb28 2923 65 2%
Feb27 2858 58 2%
Feb26 2800 37 1%
Feb25 2763 64 2%
Feb24 2699 81 3%
Feb23 2618 158 6%
Feb22 2460 100 4%
Feb21 2360 113 5%
Feb20 2247 121 6%
Feb19 2126 117 6%
Feb18 2009 136 7%
Feb17 1873 98 6%
Feb16 1775 106 6%
Feb15 1669 143 9%
Feb14 1526 143 10%
Feb13 1383 122 10%
Feb12 1261 146 13%
Feb11 1115 97 10%
Feb10 1018 108 12%
Feb9 910 97 12%
Feb8 813 89 12%
Feb7 724 86 13%
Feb6 638 73 13%
Feb5 565 73 15%
Feb4 492 66 15%
Feb3 426 64 18%
Feb2 362 58 19%
Feb1 304 45 17%
Jan31 259 46 22%
Jan30 213 43 25%
Jan29 170 38 29%
Jan28 132 26 25%
Jan27 106 26 33%
Jan26 80 24 43%
Jan25 56 15 37%
Jan24 41 16 64%
