Date Total Perdiem Percentage 
Jun10 414129 1157 1%
Jun9 412972 4732 1%
Jun8 408240 3157 1%
Jun7 405083 3385 1%
Jun6 401698 4253 1%
Jun5 397445 4906 1%
Jun4 392539 5511 1%
Jun3 387028 4929 1%
Jun2 382099 4671 1%
Jun1 377428 3054 1%
May31 374374 3190 1%
May30 371184 4097 1%
May29 367087 4923 1%
May28 362164 4650 1%
May27 357514 5307 2%
May26 352207 4051 1%
May25 348156 1180 0%
May24 346976 3147 1%
May23 343829 4183 1%
May22 339646 5258 2%
May21 334388 4930 1%
May20 329458 4687 1%
May19 324771 4594 1%
May18 320177 3446 1%
May17 316731 3618 1%
May16 313113 4362 1%
May15 308751 5081 2%
May14 303670 5358 2%
May13 298312 5366 2%
May12 292946 5566 2%
May11 287380 3452 1%
May10 283928 3509 1%
May9 280419 4255 2%
May8 276164 5552 2%
May7 270612 5593 2%
May6 265019 6814 3%
May5 258205 5788 2%
May4 252417 4100 2%
May3 248317 3481 1%
May2 244836 5224 2%
May1 239612 5626 2%
Apr30 233986 5800 3%
Apr29 228186 6597 3%
Apr28 221589 6695 3%
Apr27 214894 4513 2%
Apr26 210381 3759 2%
Apr25 206622 6109 3%
Apr24 200513 6422 3%
Apr23 194091 6712 4%
Apr22 187379 6703 4%
Apr21 180676 7294 4%
Apr20 173382 5492 3%
Apr19 167890 4898 3%
Apr18 162992 6679 4%
Apr17 156313 8435 6%
Apr16 147878 7005 5%
Apr15 140873 8197 6%
Apr14 132676 7415 6%
Apr13 125261 5644 5%
Apr12 119617 5569 5%
Apr11 114048 6213 6%
Apr10 107835 7356 7%
Apr9 100479 7671 8%
Apr8 92808 6740 8%
Apr7 86068 7897 10%
Apr6 78171 5611 8%
Apr5 72560 5007 7%
Apr4 67553 6069 10%
Apr3 61484 5965 11%
Apr2 55519 6273 13%
Apr1 49246 5193 12%
Mar31 44053 4712 12%
Mar30 39341 4162 12%
Mar29 35179 3344 11%
Mar28 31835 3672 13%
Mar27 28163 3470 14%
Mar26 24693 2946 14%
Mar25 21747 2590 14%
Mar24 19157 2486 15%
Mar23 16671 1932 13%
Mar22 14739 1638 13%
Mar21 13101 1644 14%
Mar20 11457 1380 14%
Mar19 10077 1094 12%
Mar18 8983 983 12%
Mar17 8000 820 11%
Mar16 7180 648 10%
Mar15 6532 691 12%
Mar14 5841 414 8%
Mar13 5427 447 9%
Mar12 4980 353 8%
Mar11 4627 330 8%
Mar10 4297 274 7%
Mar9 4023 197 5%
Mar8 3826 228 6%
Mar7 3598 105 3%
Mar6 3493 106 3%
Mar5 3387 102 3%
Mar4 3285 83 3%
Mar3 3202 85 3%
Mar2 3117 67 2%
Mar1 3050 73 2%
Feb29 2977 54 2%
Feb28 2923 65 2%
Feb27 2858 58 2%
Feb26 2800 37 1%
Feb25 2763 64 2%
Feb24 2699 81 3%
Feb23 2618 158 6%
Feb22 2460 100 4%
Feb21 2360 113 5%
Feb20 2247 121 6%
Feb19 2126 117 6%
Feb18 2009 136 7%
Feb17 1873 98 6%
Feb16 1775 106 6%
Feb15 1669 143 9%
Feb14 1526 143 10%
Feb13 1383 122 10%
Feb12 1261 146 13%
Feb11 1115 97 10%
Feb10 1018 108 12%
Feb9 910 97 12%
Feb8 813 89 12%
Feb7 724 86 13%
Feb6 638 73 13%
Feb5 565 73 15%
Feb4 492 66 15%
Feb3 426 64 18%
Feb2 362 58 19%
Feb1 304 45 17%
Jan31 259 46 22%
Jan30 213 43 25%
Jan29 170 38 29%
Jan28 132 26 25%
Jan27 106 26 33%
Jan26 80 24 43%
Jan25 56 15 37%
Jan24 41 16 64%
Jan23 25 8 47%
